query,event
How often does the Alumni Interaction Session happen?,Alumni Interaction Session 43
Can you remind me when the Alumni Interaction Session is?,Alumni Interaction Session 43
Can I change the time of the Alumni Interaction Session?,Alumni Interaction Session 43
29-04-2025 04:11 PM Sustainability Awareness Campaign Room 105,Sustainability Awareness Campaign 31
Is there a Sustainability Awareness Campaign happening on 29-04-2025 04:11 PM in Room 105?,Sustainability Awareness Campaign 31
What is the location of the Sustainability Awareness Campaign on 29-04-2025 04:11 PM?,Sustainability Awareness Campaign 31
How many people are attending the Cybersecurity Awareness Seminar 71?,Cybersecurity Awareness Seminar 71
Can you remind me of the date and time of the Cybersecurity Awareness Seminar 71?,Cybersecurity Awareness Seminar 71
Is the Cybersecurity Awareness Seminar 71 happening at the Open Air Theater?,Cybersecurity Awareness Seminar 71
18-08-2025 12:35 PM Innovation Hackathon 88 Open Air Theater,Innovation Hackathon 88
Check if there are any scheduling conflicts on 18-08-2025 12:35 PM,Innovation Hackathon 88
Send out invites for Innovation Hackathon 88 on 18-08-2025 12:35 PM,Innovation Hackathon 88
08-05-2025 7:35 PM Business Case Study Challenge 18 Chemistry Lecture Theater,Business Case Study Challenge 18
Can I get a reminder for the Business Case Study Challenge 18 on 08-05-2025 7:35 PM at Chemistry Lecture Theater?,Business Case Study Challenge 18
What is the RSVP status for the Business Case Study Challenge 18 on 08-05-2025 7:35 PM at Chemistry Lecture Theater?,Business Case Study Challenge 18
What is the date and time of the Industry Networking Event 64?,Industry Networking Event 64
Can you send out invites for the Industry Networking Event 64?,Industry Networking Event 64
Where is the Industry Networking Event 64 taking place?,Industry Networking Event 64
What is the date of Startup Pitch Fest 48?,Startup Pitch Fest 48
Can I set a reminder for Startup Pitch Fest 48?,Startup Pitch Fest 48
Is Startup Pitch Fest 48 happening at the Central Sports Ground?,Startup Pitch Fest 48
What time is Astronomy Night 24?,Astronomy Night 24
Is there a conflict with my other plans on March 15th at 2:57 PM?,Astronomy Night 24
Have I RSVP'd to Astronomy Night 24 yet?,Astronomy Night 24
27-08-2025 05:35 PM Cybersecurity Awareness Seminar 38 - RSVP status,Cybersecurity Awareness Seminar 38
How do I manage recurring events like Cybersecurity Awareness Seminar 38?,Cybersecurity Awareness Seminar 38
Can you remind me about Cybersecurity Awareness Seminar 38 after it's over?,Cybersecurity Awareness Seminar 38
Can I check if there's a conflict with my meeting at 10:00 AM on 20-09-2025?,Startup Pitch Fest 3
Can I send out invites for the Startup Pitch Fest 3 event on 20-09-2025 11:09 AM?,Startup Pitch Fest 3
Can I set up a recurring event for the Startup Pitch Fest 3 every month on the 20th?,Startup Pitch Fest 3
05-06-2025 11:21 AM Innovation Hackathon 41 Library Conference Room,Innovation Hackathon 41
Is Innovation Hackathon 41 happening on 05-06-2025 11:21 AM?,Innovation Hackathon 41
What is the venue for Innovation Hackathon 41 on 05-06-2025 11:21 AM?,Innovation Hackathon 41
How do I change the date of Business Case Study Challenge 83?,Business Case Study Challenge 83
What is the RSVP status for Business Case Study Challenge 83?,Business Case Study Challenge 83
Can I move Business Case Study Challenge 83 to a different venue?,Business Case Study Challenge 83
1. What is the RSVP status for Astronomy Night 93?,Astronomy Night 93
2. Can you send out invites for Astronomy Night 93?,Astronomy Night 93
3. Do you have any post-event reminders for Astronomy Night 93?,Astronomy Night 93
30-01-2025 04:10 PM Cybersecurity Awareness Seminar 82 Mechanical Engineering Workshop,Cybersecurity Awareness Seminar 82
Is there a recurring event for Cybersecurity Awareness Seminar 82?,Cybersecurity Awareness Seminar 82
Can you check if there are any scheduling conflicts for Cybersecurity Awareness Seminar 82 on 30-01-2025 04:10 PM at Mechanical Engineering Workshop?,Cybersecurity Awareness Seminar 82
What is the date of Innovation Hackathon 6?,Innovation Hackathon 6
Where is Innovation Hackathon 6 being held?,Innovation Hackathon 6
What time is Innovation Hackathon 6 starting?,Innovation Hackathon 6
How do I schedule a reminder for Astronomy Night 65?,Astronomy Night 65
Can you check if there are any scheduling conflicts for Astronomy Night 65?,Astronomy Night 65
How do I send out invites for Astronomy Night 65?,Astronomy Night 65
07-03-2025 1:38 PM Cybersecurity Awareness Seminar 67 Library Conference Room,Cybersecurity Awareness Seminar 67
Is there a Cybersecurity Awareness Seminar 67 happening on 07-03-2025 1:38 PM at the Library Conference Room?,Cybersecurity Awareness Seminar 67
What is the location of the Cybersecurity Awareness Seminar 67 on 07-03-2025 1:38 PM?,Cybersecurity Awareness Seminar 67
What is the date of the Industry Networking Event 32?,Industry Networking Event 32
Can I change the time of the Industry Networking Event 32?,Industry Networking Event 32
Is the Industry Networking Event 32 at the Main Auditorium?,Industry Networking Event 32
What is the date of Startup Pitch Fest 32?,Startup Pitch Fest 32
Is the Startup Pitch Fest 32 happening at the Open Air Theater?,Startup Pitch Fest 32
What time does Startup Pitch Fest 32 begin?,Startup Pitch Fest 32
What time is Astronomy Night 90?,Astronomy Night 90
Can you send me an invite for Astronomy Night 95?,Astronomy Night 90
Where is Astronomy Night 90 happening?,Astronomy Night 90
29-04-2025 01:12 PM Alumni Interaction Session 52 CSE Block Seminar Hall - RSVP status,Alumni Interaction Session 52
Alumni Interaction Session 52 29-04-2025 01:12 PM CSE Block Seminar Hall - Set reminder,Alumni Interaction Session 52
29-04-2025 01:12 PM Alumni Interaction Session 52 CSE Block Seminar Hall - Check for conflicts,Alumni Interaction Session 52
06-03-2025 2:54 PM Mathematics Symposium 8 at Mechanical Engineering Workshop,Mathematics Symposium 8
Is there a conflict with my schedule on 06-03-2025 2:54 PM for Mathematics Symposium 8 at Mechanical Engineering Workshop?,Mathematics Symposium 8
Can you remind me about Mathematics Symposium 8 on 06-03-2025 2:54 PM at Mechanical Engineering Workshop?,Mathematics Symposium 8
05-03-2025 4:40 PM Startup Pitch Fest 9 at Open Air Theater,Startup Pitch Fest 9
What's the date and time of Startup Pitch Fest 9?,Startup Pitch Fest 9
Where is Startup Pitch Fest 9 being held?,Startup Pitch Fest 9
How do I move the Cultural Exchange Program 31 to a different date?,Cultural Exchange Program 31
Can I see if the Cultural Exchange Program 31 is a recurring event?,Cultural Exchange Program 31
Is the Cultural Exchange Program 31 still accepting RSVPs?,Cultural Exchange Program 31
31 Inter-University Debate Competition: What is the date and time?,Inter-University Debate Competition 31
31 Inter-University Debate Competition: Is it a recurring event?,Inter-University Debate Competition 31
31 Inter-University Debate Competition: Where is it being held?,Inter-University Debate Competition 31
Is there anything else happening on 24-03-2025 at 01:56 PM?,Astronomy Night 87
Can you remind me about Astronomy Night 87?,Astronomy Night 87
Did I RSVP for Astronomy Night 87?,Astronomy Night 87
11-08-2025 5:02 PM National Science Conference 70 Open Air Theater - Check for scheduling conflicts,National Science Conference 70
National Science Conference 70 Open Air Theater - Send out invites for the event,National Science Conference 70
National Science Conference 70 Open Air Theater - Share info about the event,National Science Conference 70
How do I send out invites for the Annual Tech Fest 59?,Annual Tech Fest 59
Can you help me manage recurring events for the Annual Tech Fest 59?,Annual Tech Fest 59
Is there a scheduling conflict with the Annual Tech Fest 59 on 05-04-2025 4:08 PM?,Annual Tech Fest 59
How do I change the date of the Cultural Exchange Program 7?,Cultural Exchange Program 7
What time is the Cultural Exchange Program 7?,Cultural Exchange Program 7
Where is the Cultural Exchange Program 7 taking place?,Cultural Exchange Program 7
26 National Science Conference 5:33 PM College Cafeteria Lounge,National Science Conference 26
26 National Science Conference 5:33 PM College Cafeteria Lounge,National Science Conference 26
26 National Science Conference 5:33 PM College Cafeteria Lounge,National Science Conference 26
What is the date of Startup Pitch Fest 60?,Startup Pitch Fest 60
Can you remind me of the time for Startup Pitch Fest 60?,Startup Pitch Fest 60
Where is Startup Pitch Fest 60 being held?,Startup Pitch Fest 60
16-06-2025 09:19 AM Industry Networking Event 56 Central Sports Ground RSVP status,Industry Networking Event 56
How do I manage recurring events like Industry Networking Event 56?,Industry Networking Event 56
Is there a scheduling conflict with Industry Networking Event 56 on 16-06-2025 09:19 AM?,Industry Networking Event 56
18-10-2025 07:44 PM Cybersecurity Awareness Seminar 75 Central Sports Ground,Cybersecurity Awareness Seminar 75
Move Cybersecurity Awareness Seminar 75 to 19-10-2025 07:44 PM,Cybersecurity Awareness Seminar 75
Cancel Cybersecurity Awareness Seminar 75,Cybersecurity Awareness Seminar 75
What time is the Mathematics Symposium 70?,Mathematics Symposium 70
Is there a conflict with my other plans on 03-05-2025?,Mathematics Symposium 70
Can you send me more details about the Mathematics Symposium 70?,Mathematics Symposium 70
What time is the Annual Tech Fest 15?,Annual Tech Fest 15
Is there any conflict with my schedule on 31-12-2025?,Annual Tech Fest 15
Where is the Annual Tech Fest 15 being held?,Annual Tech Fest 15
What time is the Inter-University Debate Competition 66?,Inter-University Debate Competition 66
Where is the Inter-University Debate Competition 66?,Inter-University Debate Competition 66
Can I share the details of the Inter-University Debate Competition 66 with my friends?,Inter-University Debate Competition 66
18-10-2025 04:30 PM Cultural Exchange Program 58 CSE Block Seminar Hall,Cultural Exchange Program 58
What is the time of the Cultural Exchange Program 58?,Cultural Exchange Program 58
Where is the Cultural Exchange Program 58 taking place?,Cultural Exchange Program 58
What is the date of the National Science Conference 83?,National Science Conference 83
Where is the National Science Conference 83 being held?,National Science Conference 83
What time does the National Science Conference 83 start?,National Science Conference 83
34 Cybersecurity Awareness Seminar RSVP status,Cybersecurity Awareness Seminar 34
Send out invites for 34 Cybersecurity Awareness Seminar,Cybersecurity Awareness Seminar 34
Check scheduling conflicts for 34 Cybersecurity Awareness Seminar,Cybersecurity Awareness Seminar 34
09-09-2025 7:20 PM Cybersecurity Awareness Seminar 5 CSE Block Seminar Hall,Cybersecurity Awareness Seminar 5
Is there a conflict with my schedule on 09-09-2025 7:20 PM?,Cybersecurity Awareness Seminar 5
Can you send me an email reminder for the Cybersecurity Awareness Seminar 5 on 09-09-2025 7:20 PM?,Cybersecurity Awareness Seminar 5
23-09-2025 04:04 PM Cybersecurity Awareness Seminar 26 RSVP status,Cybersecurity Awareness Seminar 26
How do I manage recurring events like Cybersecurity Awareness Seminar 26?,Cybersecurity Awareness Seminar 26
Can I modify or cancel the Cybersecurity Awareness Seminar 26 event?,Cybersecurity Awareness Seminar 26
06-02-2025 3:58 PM Mathematics Symposium 15 College Cafeteria Lounge,Mathematics Symposium 15
Send me an email reminder for the Mathematics Symposium 15 on 06-02-2025 3:58 PM at the College Cafeteria Lounge,Mathematics Symposium 15
What time is the Mathematics Symposium 15 on 06-02-2025?,Mathematics Symposium 15
29-12-2025 08:53 AM Sustainability Awareness Campaign 67 - Room 105,Sustainability Awareness Campaign 67
Is there a conflict with Sustainability Awareness Campaign 67 on 29-12-2025 08:53 AM?,Sustainability Awareness Campaign 67
What is the location of Sustainability Awareness Campaign 67 on 29-12-2025 08:53 AM?,Sustainability Awareness Campaign 67
Can I get a reminder for the Industry Networking Event 6 on 03-07-2025 10:15 AM?,Industry Networking Event 6
How do I manage recurring events like the Industry Networking Event 6?,Industry Networking Event 6
Can you send out invites for the Industry Networking Event 6?,Industry Networking Event 6
How do I schedule a reminder for the Business Case Study Challenge 96?,Business Case Study Challenge 96
Can I move the Business Case Study Challenge 96 to a different date?,Business Case Study Challenge 96
How do I modify the Business Case Study Challenge 96 to include more participants?,Business Case Study Challenge 96
Can you remind me about the AI workshop on 22-02-2025 at 2:18 PM?,Artificial Intelligence Workshop 51
What's the location of the AI workshop on 22-02-2025 at 2:18 PM?,Artificial Intelligence Workshop 51
Is the AI workshop on 22-02-2025 at 2:18 PM still happening?,Artificial Intelligence Workshop 51
12-11-2025 3:33 PM Alumni Interaction Session 17 Chemistry Lecture Theater,Alumni Interaction Session 17
What time is the Alumni Interaction Session 17?,Alumni Interaction Session 17
Where is the Alumni Interaction Session 17 taking place?,Alumni Interaction Session 17
08-06-2025 12:06 PM College Cafeteria Lounge Startup Pitch Fest 1 - Check for scheduling conflicts,Startup Pitch Fest 1
08-06-2025 12:06 PM College Cafeteria Lounge Startup Pitch Fest 1 - RSVP status,Startup Pitch Fest 1
08-06-2025 12:06 PM College Cafeteria Lounge Startup Pitch Fest 1 - Recurring event management,Startup Pitch Fest 1
What is the date of the Artificial Intelligence Workshop 37?,Artificial Intelligence Workshop 37
Is the Artificial Intelligence Workshop 37 happening today?,Artificial Intelligence Workshop 37
Where is the Artificial Intelligence Workshop 37 being held?,Artificial Intelligence Workshop 37
Is there a conflict with my other appointments on 06-03-2025 12:41 PM?,Mathematics Symposium 30
Can you remind me about the Mathematics Symposium 30 on 06-03-2025 12:41 PM?,Mathematics Symposium 30
Did I RSVP to the Mathematics Symposium 30 on 06-03-2025 12:41 PM?,Mathematics Symposium 30
15-04-2025 04:55 PM Mathematics Symposium 19 College Cafeteria Lounge,Mathematics Symposium 19
Invites for Mathematics Symposium 19,Mathematics Symposium 19
Where is Mathematics Symposium 19 held?,Mathematics Symposium 19
What time is the Industry Networking Event on 12-10-2025?,Industry Networking Event 29
Is there a conflict with my schedule for the Industry Networking Event on 12-10-2025?,Industry Networking Event 29
Where is the Industry Networking Event on 12-10-2025?,Industry Networking Event 29
Is there a networking event happening at the Central Sports Ground on 14-02-2025 12:21 PM?,Industry Networking Event 77
Can I set a reminder for the Industry Networking Event 77 on 14-02-2025 12:21 PM?,Industry Networking Event 77
Is there a recurring event for Industry Networking Events at the Central Sports Ground?,Industry Networking Event 77
What is the time of the Inter-University Debate Competition 78?,Inter-University Debate Competition 78
Where is the Inter-University Debate Competition 78 being held?,Inter-University Debate Competition 78
Can I modify the Inter-University Debate Competition 78?,Inter-University Debate Competition 78
What is the time of Innovation Hackathon 92?,Innovation Hackathon 92
Where is Innovation Hackathon 92 taking place?,Innovation Hackathon 92
Is Innovation Hackathon 92 happening on 09-02-2025?,Innovation Hackathon 92
"How do I check if the Cultural Exchange Program 42 is happening on December 16th, 2025 at 8:07 AM?",Cultural Exchange Program 42
Can I move the Cultural Exchange Program 42 to a different time or date?,Cultural Exchange Program 42
"Is there a conflict with any other events happening at the Central Sports Ground on December 16th, 2025 at 8:07 AM?",Cultural Exchange Program 42
26 May 2025 3:08 PM Cultural Exchange Program - Send invites,Cultural Exchange Program 26
26 May 2025 3:08 PM Cultural Exchange Program - Follow-up reminder,Cultural Exchange Program 26
26 May 2025 3:08 PM Cultural Exchange Program - Set reminder,Cultural Exchange Program 26
What is the date of the Artificial Intelligence Workshop 45?,Artificial Intelligence Workshop 45
Where is the Artificial Intelligence Workshop 45 being held?,Artificial Intelligence Workshop 45
What time is the Artificial Intelligence Workshop 45 starting?,Artificial Intelligence Workshop 45
28-01-2025 10:11 AM Cultural Exchange Program - RSVP status,Cultural Exchange Program 31
How do I check if there are any recurring events on 28-01-2025?,Cultural Exchange Program 31
Is there a scheduling conflict with the Cultural Exchange Program on 28-01-2025?,Cultural Exchange Program 31
What time is the Sustainability Awareness Campaign 41?,Sustainability Awareness Campaign 41
Where is the Sustainability Awareness Campaign 41 taking place?,Sustainability Awareness Campaign 41
Is the Sustainability Awareness Campaign 41 open to the public?,Sustainability Awareness Campaign 41
02-05-2025 9:17 AM - Annual Tech Fest 43 - Open Air Theater,Annual Tech Fest 43
What is the date and time of the Annual Tech Fest 43?,Annual Tech Fest 43
Where is the Annual Tech Fest 43 being held?,Annual Tech Fest 43
26-03-2025 02:25 PM Cybersecurity Awareness Seminar 30 Main Auditorium,Cybersecurity Awareness Seminar 30
What time is the Cybersecurity Awareness Seminar 30?,Cybersecurity Awareness Seminar 30
Where is the Cybersecurity Awareness Seminar 30 taking place?,Cybersecurity Awareness Seminar 30
How do I invite people to the Mathematics Symposium 28?,Mathematics Symposium 28
Is there a scheduling conflict with the Mathematics Symposium 28?,Mathematics Symposium 28
How do I set a reminder for the Mathematics Symposium 28?,Mathematics Symposium 28
What is the date and time of the Business Case Study Challenge 54?,Business Case Study Challenge 54
Where is the Business Case Study Challenge 54 being held?,Business Case Study Challenge 54
Is the Business Case Study Challenge 54 happening again?,Business Case Study Challenge 54
23-04-2025 05:34 PM Cultural Exchange Program 37 Library Conference Room,Cultural Exchange Program 37
What is the time of the Cultural Exchange Program 37?,Cultural Exchange Program 37
Where is the Cultural Exchange Program 37 taking place?,Cultural Exchange Program 37
Is there a workshop on Artificial Intelligence on July 17th at 5:26 PM?,Artificial Intelligence Workshop 17
Can you remind me about the Artificial Intelligence Workshop on July 17th at 5:26 PM?,Artificial Intelligence Workshop 17
Can you send out invites for the Artificial Intelligence Workshop on July 17th at 5:26 PM?,Artificial Intelligence Workshop 17
23-10-2025 03:18 PM Cybersecurity Awareness Seminar 68 - Venue: Administrative Block - Room 105,Cybersecurity Awareness Seminar 68
What is the status of my RSVP for the Cybersecurity Awareness Seminar 68 on 23-10-2025 03:18 PM in Administrative Block - Room 105?,Cybersecurity Awareness Seminar 68
Can you remind me about the Cybersecurity Awareness Seminar 68 on 23-10-2025 03:18 PM in Administrative Block - Room 105?,Cybersecurity Awareness Seminar 68
29-05-2025 10:08 AM Tech Fest 81 College Cafeteria Lounge,Annual Tech Fest 81
Tech Fest 81 RSVP status,Annual Tech Fest 81
Tech Fest 81 recurring event management,Annual Tech Fest 81
23-09-2025 07:44 PM Cultural Exchange Program 3 Open Air Theater - RSVP status,Cultural Exchange Program 3
Is there a scheduling conflict with the Cultural Exchange Program 3 on 23-09-2025 07:44 PM at Open Air Theater?,Cultural Exchange Program 3
Can you send me a reminder for the Cultural Exchange Program 3 on 23-09-2025 07:44 PM at Open Air Theater?,Cultural Exchange Program 3
Can I set a reminder for the Startup Pitch Fest 98 on 11-10-2025 12:41 PM?,Startup Pitch Fest 98
How do I send out invites for the Startup Pitch Fest 98?,Startup Pitch Fest 98
What is my RSVP status for the Startup Pitch Fest 98?,Startup Pitch Fest 98
06-02-2025 12:04 PM Artificial Intelligence Workshop 34 Physics Research Lab,Artificial Intelligence Workshop 34
Is there a conflict with my schedule on 06-02-2025 12:04 PM for Artificial Intelligence Workshop 34 at Physics Research Lab?,Artificial Intelligence Workshop 34
Can you remind me about Artificial Intelligence Workshop 34 on 06-02-2025 12:04 PM at Physics Research Lab?,Artificial Intelligence Workshop 34
03-06-2025 9:58 AM Alumni Interaction Session 100 Mechanical Engineering Workshop,Alumni Interaction Session 100
Can I set a reminder for the Alumni Interaction Session 100 on 03-06-2025 9:58 AM at Mechanical Engineering Workshop?,Alumni Interaction Session 100
What is the RSVP status for the Alumni Interaction Session 100 on 03-06-2025 9:58 AM at Mechanical Engineering Workshop?,Alumni Interaction Session 100
What is the date of Industry Networking Event 100?,Industry Networking Event 100
Can I move Industry Networking Event 100 to a different time?,Industry Networking Event 100
Where is Industry Networking Event 100 taking place?,Industry Networking Event 100
11-05-2025 8:37 PM Business Case Study Challenge 77 Library Conference Room,Business Case Study Challenge 77
Check if there are any scheduling conflicts on 11-05-2025 8:37 PM,Business Case Study Challenge 77
Send me a reminder for the Business Case Study Challenge 77 on 11-05-2025 8:37 PM,Business Case Study Challenge 77
What is the date and time of the Industry Networking Event 24?,Industry Networking Event 24
Is there a conflict with my other appointments on 10-05-2025 12:05 PM?,Industry Networking Event 24
Where is the Industry Networking Event 24 being held?,Industry Networking Event 24
Can I change the date of Business Case Study Challenge 98?,Business Case Study Challenge 98
Can you send me an email about Business Case Study Challenge 98?,Business Case Study Challenge 98
How do I manage recurring events like Business Case Study Challenge 98?,Business Case Study Challenge 98
What's the date and time of the Music and Arts Festival 26?,Music and Arts Festival 26
Is the Music and Arts Festival 26 happening at the College Cafeteria Lounge?,Music and Arts Festival 26
Can I RSVP to the Music and Arts Festival 26?,Music and Arts Festival 26
30-01-2025 11:32 AM Music and Arts Festival 89 CSE Block Seminar Hall,Music and Arts Festival 89
What's the RSVP status for Music and Arts Festival 89?,Music and Arts Festival 89
Can you remind me about Music and Arts Festival 89 tomorrow at 11:32 AM?,Music and Arts Festival 89
What time is the Industry Networking Event 92?,Industry Networking Event 92
Where is the Industry Networking Event 92?,Industry Networking Event 92
Is the Industry Networking Event 92 still happening?,Industry Networking Event 92
45 Alumni Interaction Session on 04-06-2025 9:38 AM at Mechanical Engineering Workshop,Alumni Interaction Session 45
What time is the Alumni Interaction Session on 04-06-2025?,Alumni Interaction Session 45
Where is the Alumni Interaction Session on 04-06-2025?,Alumni Interaction Session 45
22-09-2025 06:28 PM Artificial Intelligence Workshop 41 - RSVP status,Artificial Intelligence Workshop 41
Send out invites for Artificial Intelligence Workshop 41 on 22-09-2025 06:28 PM,Artificial Intelligence Workshop 41
Follow-up reminder for Artificial Intelligence Workshop 41 on 22-09-2025 06:28 PM,Artificial Intelligence Workshop 41
How do I move Mathematics Symposium 30 to a different time?,Mathematics Symposium 30
Is there a conflict with Mathematics Symposium 30 and another event on 03-11-2025?,Mathematics Symposium 30
Can I set Mathematics Symposium 30 to repeat every week?,Mathematics Symposium 30
What time is the Cultural Exchange Program 4?,Cultural Exchange Program 4
Is there a conflict with my class at 2:30 PM on October 18th?,Cultural Exchange Program 4
Can I set a reminder for the Cultural Exchange Program 4?,Cultural Exchange Program 4
What time is the Music and Arts Festival 44?,Music and Arts Festival 44
Where is the Music and Arts Festival 44 happening?,Music and Arts Festival 44
Can I modify the Music and Arts Festival 44?,Music and Arts Festival 44
11-07-2025 5:01 PM Tech Fest 83 Admin Block Room 105,Annual Tech Fest 83
Is there a conflict with my schedule on 11-07-2025 5:01 PM?,Annual Tech Fest 83
Set a reminder for 11-07-2025 5:01 PM Tech Fest 83 in Admin Block Room 105.,Annual Tech Fest 83
How do I move the Music and Arts Festival 66 to a different date?,Music and Arts Festival 66
Is there a scheduling conflict with the Music and Arts Festival 66?,Music and Arts Festival 66
Can I set a reminder for the Music and Arts Festival 66?,Music and Arts Festival 66
05-07-2025 8:05 PM Artificial Intelligence Workshop 35 - Physics Research Lab,Artificial Intelligence Workshop 35
Is the Artificial Intelligence Workshop 35 happening on 05-07-2025 8:05 PM at the Physics Research Lab?,Artificial Intelligence Workshop 35
What is the date and time of the Artificial Intelligence Workshop 35?,Artificial Intelligence Workshop 35
14-11-2025 01:14 PM National Science Conference 20 Open Air Theater - RSVP status,National Science Conference 20
National Science Conference 20 14-11-2025 01:14 PM Open Air Theater - Check for scheduling conflicts,National Science Conference 20
National Science Conference 20 14-11-2025 01:14 PM Open Air Theater - Follow-up and post-event reminders,National Science Conference 20
69 National Science Conference 11:37 AM Physics Research Lab,National Science Conference 69
Is there a conflict with my meeting at 12:00 PM?,National Science Conference 69
Can I change the time of the National Science Conference to 1:00 PM?,National Science Conference 69
Is my RSVP for National Science Conference 9 accepted?,National Science Conference 9
Can you check if there are any scheduling conflicts with National Science Conference 9?,National Science Conference 9
Can I modify the date and time of National Science Conference 9?,National Science Conference 9
21-01-2025 09:51 AM Astronomy Night 57 Main Auditorium,Astronomy Night 57
Astronomy Night 57 Main Auditorium 21-01-2025 09:51 AM,Astronomy Night 57
Check for scheduling conflicts on 21-01-2025 09:51 AM Astronomy Night 57 Main Auditorium,Astronomy Night 57
What is the date of the National Science Conference 36?,National Science Conference 36
Where is the National Science Conference 36 being held?,National Science Conference 36
What time is the National Science Conference 36 starting?,National Science Conference 36
Is there a conflict with my other plans on 14-04-2025 03:40 PM?,Astronomy Night 39
What is the status of my RSVP for Astronomy Night 39?,Astronomy Night 39
Can I set a reminder for Astronomy Night 39 on 14-04-2025 03:40 PM?,Astronomy Night 39
What time is Astronomy Night 5?,Astronomy Night 5
Where is Astronomy Night 5 happening?,Astronomy Night 5
Is Astronomy Night 5 already over?,Astronomy Night 5
Is there a Business Case Study Challenge happening on June 19th at 2:13 PM?,Business Case Study Challenge 21
Can you check if there are any conflicts with my schedule on June 19th at 2:13 PM?,Business Case Study Challenge 21
Is there a Business Case Study Challenge happening at the College Cafeteria Lounge on June 19th at 2:13 PM?,Business Case Study Challenge 21
21-03-2025 08:54 PM Central Sports Ground Startup Pitch Fest 78 RSVP status,Startup Pitch Fest 78
Is there a scheduling conflict with Startup Pitch Fest 78 on 21-03-2025 08:54 PM at Central Sports Ground?,Startup Pitch Fest 78
Can I modify the date and time of Startup Pitch Fest 78 from 21-03-2025 08:54 PM to a later time?,Startup Pitch Fest 78
What is the date of the Annual Tech Fest 91?,Annual Tech Fest 91
Is the Annual Tech Fest 91 happening at CSE Block Seminar Hall?,Annual Tech Fest 91
What time is the Annual Tech Fest 91 starting?,Annual Tech Fest 91
What is the date of Startup Pitch Fest 79?,Startup Pitch Fest 79
Is the Startup Pitch Fest 79 event happening today?,Startup Pitch Fest 79
Where is the Startup Pitch Fest 79 event taking place?,Startup Pitch Fest 79
What time is the Music and Arts Festival 70?,Music and Arts Festival 70
Where is the Music and Arts Festival 70 happening?,Music and Arts Festival 70
Is there a way to move the Music and Arts Festival 70 to a different date?,Music and Arts Festival 70
How often does the Cultural Exchange Program happen?,Cultural Exchange Program 36
Can you remind me when the Cultural Exchange Program is happening?,Cultural Exchange Program 36
Is there any other event happening at the same time as the Cultural Exchange Program?,Cultural Exchange Program 36
14-02-2025 10:49 AM Innovation Hackathon 81 - Venue: Administrative Block - Room 105,Innovation Hackathon 81
What is the date and time of Innovation Hackathon 81?,Innovation Hackathon 81
Where is Innovation Hackathon 81 being held?,Innovation Hackathon 81
14-06-2025 11:22 AM Mathematics Symposium 75 CSE Block Seminar Hall,Mathematics Symposium 75
Is there a conflict with my Mathematics Symposium 75 on 14-06-2025 11:22 AM?,Mathematics Symposium 75
What are the follow-up tasks for Mathematics Symposium 75 on 14-06-2025 11:22 AM?,Mathematics Symposium 75
31-03-2025 9:26 AM Library Conference Room,Cultural Exchange Program 31
What time is the Cultural Exchange Program on 31-03-2025?,Cultural Exchange Program 31
Where is the Cultural Exchange Program taking place on 31-03-2025?,Cultural Exchange Program 31
What is the date of the Alumni Interaction Session 39?,Alumni Interaction Session 39
What time is the Alumni Interaction Session 39?,Alumni Interaction Session 39
Where is the Alumni Interaction Session 39 taking place?,Alumni Interaction Session 39
What time is the Music and Arts Festival 5 starting?,Music and Arts Festival 5
Is there a dress code for the Music and Arts Festival 5?,Music and Arts Festival 5
Can I buy tickets for the Music and Arts Festival 5 online?,Music and Arts Festival 5
1. Can I see if there's anything else happening at 3:33 PM on September 4th?,Cybersecurity Awareness Seminar 86
2. Can you send out invitations for the Cybersecurity Awareness Seminar 86?,Cybersecurity Awareness Seminar 86
3. Can I change the date and time of the Cybersecurity Awareness Seminar 86?,Cybersecurity Awareness Seminar 86
How do I send out invites for the National Science Conference 17?,National Science Conference 17
Can I modify the date and time of the National Science Conference 17?,National Science Conference 17
Is there a scheduling conflict with the National Science Conference 17?,National Science Conference 17
31-12-2025 08:05 AM Tech Fest 22 Open Air Theater,Annual Tech Fest 22
Tech Fest 22 reminder,Annual Tech Fest 22
Tech Fest 22 schedule,Annual Tech Fest 22
16-06-2025 02:30 PM Tech Fest 48 College Cafeteria Lounge,Annual Tech Fest 48
Tech Fest 48 invites,Annual Tech Fest 48
Tech Fest 48 follow-up,Annual Tech Fest 48
How do I move the National Science Conference 68 to a different date?,National Science Conference 68
Can you check if there are any scheduling conflicts with the National Science Conference 68?,National Science Conference 68
How do I send out invites for the National Science Conference 68?,National Science Conference 68
What is the Mathematics Symposium 70 schedule?,Mathematics Symposium 70
Can you send me the Mathematics Symposium 70 location?,Mathematics Symposium 70
How do I manage recurring events like Mathematics Symposium 70?,Mathematics Symposium 70
What time is the Inter-University Debate Competition 64?,Inter-University Debate Competition 64
Is there a conflict with my other plans on 07-02-2025?,Inter-University Debate Competition 64
Where is the Open Air Theater located?,Inter-University Debate Competition 64
How do I change the date of Innovation Hackathon 91?,Innovation Hackathon 91
What is the RSVP status for Innovation Hackathon 91?,Innovation Hackathon 91
Can I move the time of Innovation Hackathon 91?,Innovation Hackathon 91
What time is the Annual Tech Fest 25?,Annual Tech Fest 25
Where is the Annual Tech Fest 25 being held?,Annual Tech Fest 25
